,sci_name
595,Gallinago delicata
596,Limnodromus scolopaceus
597,Numenius americanus
598,Phalaropus lobatus
599,Phalaropus tricolor
600,Tringa flavipes
601,Tringa melanoleuca
602,Tringa solitaria
603,Tryngites subruficollis
604,Columba livia
605,Zenaida macroura
606,Ceryle alcyon
607,Coccyzus americanus
608,Coccyzus erythropthalmus
609,Falco columbarius
610,Falco mexicanus
611,Falco peregrinus
612,Falco sparverius
613,Meleagris gallopavo
614,Perdix perdix
615,Phasianus colchicus
616,Tympanuchus phasianellus
617,Grus canadensis
618,Fulica americana
619,Porzana carolina
620,Rallus limicola
621,Eremophila alpestris
622,Bombycilla cedrorum
623,Bombycilla garrulus
624,Calcarius lapponicus
625,Calcarius ornatus
626,Passerina amoena
627,Passerina caerulea
628,Passerina cyanea
629,Pheucticus ludovicianus
630,Pheucticus melanocephalus
631,Piranga ludoviciana
632,Spiza americana
633,Certhia americana
634,Poliptila caerulea
635,Corvus brachyrhynchos
636,Cyanocitta cristata
637,Gymnorhinus cyanocephalus
638,Pica hudsonia
639,Ammodramus savannarum
640,Calamospiza melanocorys
641,Chondestes grammacus
642,Junco hyemalis
643,Melospiza lincolnii
644,Melospiza melodia
645,Passerculus sandwichensis
646,Passerella iliaca
647,Pipilo maculatus
648,Pooecetes gramineus
649,Spizella arborea
650,Spizella breweri
651,Spizella pallida
652,Spizella passerina
653,Spizella pusilla
654,Zonotrichia leucophrys
655,Zonotrichia querula
656,Carduelis flammea
657,Carduelis pinus
658,Carduelis psaltria
659,Carduelis tristis
660,Carpodacus mexicanus
661,Coccothraustes vespertinus
662,Leucosticte tephrocotis
663,Loxia curvirostra
664,Hirundo rustica
665,Petrochelidon pyrrhonota
666,Riparia riparia
667,Stelgidopteryx serripennis
668,Tachycineta bicolor
669,Tachycineta thalassina
670,Agelaius phoeniceus
671,Dolichonyx oryzivorus
672,Euphagus carolinus
673,Euphagus cyanocephalus
674,Icterus bullockii
675,Icterus galbula
676,Icterus spurius
677,Molothrus ater
678,Quiscalus quiscula
679,Sturnella neglecta
680,Xanthocephalus xanthocephalus
681,Lanius excubitor
682,Lanius ludovicianus
683,Dumetella carolinensis
684,Mimus polyglottos
685,Toxostoma rufum
686,Anthus spragueii
687,Poecile atricapillus
688,Dendroica coronata
689,Dendroica magnolia
690,Dendroica palmarum
691,Dendroica petechia
692,Dendroica pinus
693,Dendroica striata
694,Geothlypis trichas
695,Icteria virens
696,Mniotilta varia
697,Oporornis tolmiei
698,Parula americana
699,Seiurus aurocapilla
700,Seiurus noveboracensis
701,Setophaga ruticilla
702,Vermivora celata
703,Vermivora chrysoptera
704,Vermivora peregrina
705,Wilsonia pusilla
706,Passer domesticus
707,Regulus calendula
708,Regulus satrapa
709,Sitta canadensis
710,Sitta carolinensis
711,Sturnus vulgaris
712,Catherpes mexicanus
713,Salpinctes obsoletus
714,Troglodytes aedon
715,Catharus guttatus
716,Catharus ustulatus
717,Myadestes townsendi
718,Sialia currucoides
719,Sialia sialis
720,Turdus migratorius
721,Contopus cooperi
722,Contopus sordidulus
723,Empidonax minimus
724,Empidonax traillii
725,Myiarchus crinitus
726,Sayornis phoebe
727,Sayornis saya
728,Tyrannus tyrannus
729,Tyrannus verticalis
730,Vireo bellii
731,Vireo gilvus
732,Vireo olivaceus
733,Ardea herodias
734,Botaurus lentiginosus
735,Nycticorax nycticorax
736,Pelecanus erythrorhynchos
737,Calaptes auratus
738,Colaptes auratus
739,Melanerpes erythrocephalus
740,Melanerpes lewis
741,Picoides pubescens
742,Picoides villosus
743,Sphyrapicus varius
744,Aechmophorus occidentalis
745,Podiceps nigricollis
746,Asio flammeus
747,Asio otus
748,Athene cunicularia
749,Bubo scandiacus
750,Bubo virginianus
751,Megascops asio
752,Phalacrocorax auritus
753,Coluber constrictor
754,Heterodon nasicus
755,Pituophis catenifer
756,Thamnophis radix
757,Crotalus viridis
758,Chrysemys picta
759,Bufo cognatus
760,Bufo woodhousii
761,Rana pipiens
762,Spea bombifrons
763,Ambystoma tigrinum
764,Antilocapra americana
765,Ammotragus lervia
766,Ovis canadensis
767,Cervus canadensis
768,Odocoileus hemionus
769,Odocoileus virginianus
770,Sus scrofa
771,Pecari tajacu
772,Canis latrans
773,Canis lupus
774,Urocyon cinereoargenteus
775,Vulpes macrotis
776,Lynx rufus
777,Puma concolor
778,Conepatus leuconotus
779,Mephitis macroura
780,Mephitis mephitis
781,Spilogale gracilis
782,Mustela frenata
783,Taxidea taxus
784,Bassariscus astutus
785,Nasua narica
786,Procyon lotor
787,Ursus americanus
788,Eumops perotis
789,Nyctinomops femorosaccus
790,Nyctinomops macrotis
791,Tadarida brasiliensis
792,Mormoops megalophylla
793,Leptonycteris nivalis
794,Antrozous pallidus
795,Corynorhinus townsendii
796,Eptesicus fuscus
