activity_id,activity_name,park_id
13A57703-BB1A-41A2-94B8-53B692EB7238,Astronomy,64B9F127-31ED-43C9-882D-D7CD471AF314
D37A0003-8317-4F04-8FB0-4CF0A272E195,Stargazing,64B9F127-31ED-43C9-882D-D7CD471AF314
1DFACD97-1B9C-4F5A-80F2-05593604799E,Food,64B9F127-31ED-43C9-882D-D7CD471AF314
C6D3230A-2CEA-4AFE-BFF3-DC1E2C2C4BB4,Picnicking,64B9F127-31ED-43C9-882D-D7CD471AF314
B33DC9B6-0B7D-4322-BAD7-A13A34C584A3,Guided Tours,64B9F127-31ED-43C9-882D-D7CD471AF314
A0631906-9672-4583-91DE-113B93DB6B6E,Self-Guided Tours - Walking,64B9F127-31ED-43C9-882D-D7CD471AF314
BFF8C027-7C8F-480B-A5F8-CD8CE490BFBA,Hiking,64B9F127-31ED-43C9-882D-D7CD471AF314
DF4A35E0-7983-4A3E-BC47-F37B872B0F25,Junior Ranger Program,64B9F127-31ED-43C9-882D-D7CD471AF314
0B685688-3405-4E2A-ABBA-E3069492EC50,Wildlife Watching,64B9F127-31ED-43C9-882D-D7CD471AF314
5A2C91D1-50EC-4B24-8BED-A2E11A1892DF,Birdwatching,64B9F127-31ED-43C9-882D-D7CD471AF314
0C0D142F-06B5-4BE1-8B44-491B90F93DEB,Park Film,64B9F127-31ED-43C9-882D-D7CD471AF314
C8F98B28-3C10-41AE-AA99-092B3B398C43,Museum Exhibits,64B9F127-31ED-43C9-882D-D7CD471AF314
24380E3F-AD9D-4E38-BF13-C8EEB21893E7,Shopping,64B9F127-31ED-43C9-882D-D7CD471AF314
467DC8B8-0B7D-436D-A026-80A22358F615,Bookstore and Park Store,64B9F127-31ED-43C9-882D-D7CD471AF314
09DF0950-D319-4557-A57E-04CD2F63FF42,Arts and Culture,3B8307B3-54AB-4E5F-ACBC-8DECB98AD5F1
FAED7F97-3474-4C21-AB42-FB0768A2F826,Cultural Demonstrations,3B8307B3-54AB-4E5F-ACBC-8DECB98AD5F1
5F723BAD-7359-48FC-98FA-631592256E35,Auto and ATV,3B8307B3-54AB-4E5F-ACBC-8DECB98AD5F1
0B4A5320-216D-451A-9990-626E1D5ACE28,Scenic Driving,3B8307B3-54AB-4E5F-ACBC-8DECB98AD5F1
7CE6E935-F839-4FEC-A63E-052B1DEF39D2,Biking,3B8307B3-54AB-4E5F-ACBC-8DECB98AD5F1
299CB934-88DC-474F-A33D-E43E29A149C2,Mountain Biking,3B8307B3-54AB-4E5F-ACBC-8DECB98AD5F1
8D778629-F603-4C50-A121-6F4BB2FE2C4B,Road Biking,3B8307B3-54AB-4E5F-ACBC-8DECB98AD5F1
071BA73C-1D3C-46D4-A53C-00D5602F7F0E,Boating,3B8307B3-54AB-4E5F-ACBC-8DECB98AD5F1
E0E4CE55-3119-46DE-86EB-6817CD8D5F30,Motorized Boating,3B8307B3-54AB-4E5F-ACBC-8DECB98AD5F1
BB0B8CD0-BF4C-4517-9980-CFE2D149C7B4,Sailing,3B8307B3-54AB-4E5F-ACBC-8DECB98AD5F1
A510F02B-8938-4679-A4F9-76580BCAE9C7,Boat Tour,3B8307B3-54AB-4E5F-ACBC-8DECB98AD5F1
A59947B7-3376-49B4-AD02-C0423E08C5F7,Camping,3B8307B3-54AB-4E5F-ACBC-8DECB98AD5F1
907E8125-15E4-483C-8EAD-B9FA1E85C6F8,Canoe or Kayak Camping,3B8307B3-54AB-4E5F-ACBC-8DECB98AD5F1
9159DF0F-951D-4AAE-9987-CEB3CE2A9ADA,Car or Front Country Camping,3B8307B3-54AB-4E5F-ACBC-8DECB98AD5F1
7CFF5F03-5ECC-4F5A-8572-75D1F0976C0C,Group Camping,3B8307B3-54AB-4E5F-ACBC-8DECB98AD5F1
C5C5971C-E325-4CEB-8C81-EE49A881DF17,RV Camping,3B8307B3-54AB-4E5F-ACBC-8DECB98AD5F1
C11D3746-5063-4BD0-B245-7178D1AD866C,Compass and GPS,3B8307B3-54AB-4E5F-ACBC-8DECB98AD5F1
CA3641A0-FADC-497F-B036-3FE426D0DDCC,Geocaching,3B8307B3-54AB-4E5F-ACBC-8DECB98AD5F1
89DA72D0-16D6-4C1C-89D4-103D94F1F63D,Orienteering,3B8307B3-54AB-4E5F-ACBC-8DECB98AD5F1
AE42B46C-E4B7-4889-A122-08FE180371AE,Fishing,3B8307B3-54AB-4E5F-ACBC-8DECB98AD5F1
17411C8D-5769-4D0F-ABD1-52ED03840C18,Saltwater Fishing,3B8307B3-54AB-4E5F-ACBC-8DECB98AD5F1
1DFACD97-1B9C-4F5A-80F2-05593604799E,Food,3B8307B3-54AB-4E5F-ACBC-8DECB98AD5F1
C6D3230A-2CEA-4AFE-BFF3-DC1E2C2C4BB4,Picnicking,3B8307B3-54AB-4E5F-ACBC-8DECB98AD5F1
B33DC9B6-0B7D-4322-BAD7-A13A34C584A3,Guided Tours,3B8307B3-54AB-4E5F-ACBC-8DECB98AD5F1
A0631906-9672-4583-91DE-113B93DB6B6E,Self-Guided Tours - Walking,3B8307B3-54AB-4E5F-ACBC-8DECB98AD5F1
C7D5A145-F8EB-4C37-9E92-2F6C6206B196,Self-Guided Tours - Auto,3B8307B3-54AB-4E5F-ACBC-8DECB98AD5F1
