,Park Name,Category,Order,Family,Scientific Name,Common Names
76,Acadia National Park,Bird,Charadriiformes,Charadriidae,Charadrius vociferus,"Killdeer, Northern Killdeer"
77,Acadia National Park,Bird,Charadriiformes,Charadriidae,Pluvialis squatarola,Black-Bellied Plover
78,Acadia National Park,Bird,Charadriiformes,Laridae,Larus argentatus,"American Herring Gull, Herring Gull"
79,Acadia National Park,Bird,Charadriiformes,Laridae,Larus atricilla,Laughing Gull
80,Acadia National Park,Bird,Charadriiformes,Laridae,Larus delawarensis,Ring-Billed Gull
81,Acadia National Park,Bird,Charadriiformes,Laridae,Larus marinus,Great Black-Backed Gull
82,Acadia National Park,Bird,Charadriiformes,Laridae,Sterna hirundo,"Common Tern, Northern Common Tern"
83,Acadia National Park,Bird,Charadriiformes,Recurvirostridae,Recurvirostra americana,"American Avocet, Avocet"
84,Acadia National Park,Bird,Charadriiformes,Scolopacidae,Actitis macularia,Spotted Sandpiper
85,Acadia National Park,Bird,Charadriiformes,Scolopacidae,Arenaria interpres,Ruddy Turnstone
86,Acadia National Park,Bird,Charadriiformes,Scolopacidae,Bartramia longicauda,"Bartramian Sandpiper, Upland Plover, Upland Sandpiper"
87,Acadia National Park,Bird,Charadriiformes,Scolopacidae,Calidris fuscicollis,White-Rumped Sandpiper
88,Acadia National Park,Bird,Charadriiformes,Scolopacidae,Calidris maritima,Purple Sandpiper
89,Acadia National Park,Bird,Charadriiformes,Scolopacidae,Calidris melanotos,Pectoral Sandpiper
90,Acadia National Park,Bird,Charadriiformes,Scolopacidae,Calidris minutilla,Least Sandpiper
91,Acadia National Park,Bird,Charadriiformes,Scolopacidae,Calidris pusilla,Semipalmated Sandpiper
92,Acadia National Park,Bird,Charadriiformes,Scolopacidae,Gallinago gallinago,"Common Snipe, Wilson's Common Snipe, Wilson's Snipe"
93,Acadia National Park,Bird,Charadriiformes,Scolopacidae,Limnodromus griseus,"Eastern Dowitcher, Short-Billed Dowitcher"
94,Acadia National Park,Bird,Charadriiformes,Scolopacidae,Numenius phaeopus,"Hudsonian Curlew, Hudsonian Whimbrel, Whimbrel"
95,Acadia National Park,Bird,Charadriiformes,Scolopacidae,Scolopax minor,American Woodcock
96,Acadia National Park,Bird,Charadriiformes,Scolopacidae,Tringa flavipes,"Lesser Yellowlegs, Lesser Yellow-Legs"
97,Acadia National Park,Bird,Charadriiformes,Scolopacidae,Tringa melanoleuca,"Greater Yellowlegs, Greater Yellow-Legs"
98,Acadia National Park,Bird,Charadriiformes,Scolopacidae,Tringa solitaria,"Eastern Solitary Sandpiper, Solitary Sandpiper"
99,Acadia National Park,Bird,Columbiformes,Columbidae,Zenaida macroura,"Eastern Mourning Dove, Mourning Dove"
100,Acadia National Park,Bird,Coraciiformes,Alcedinidae,Ceryle alcyon,"Belted Kingfisher, Eastern Belted Kingfisher"
101,Acadia National Park,Bird,Cuculiformes,Cuculidae,Coccyzus americanus,"Eastern Yellow-Billed Cuckoo, Yellow-Billed Cuckoo"
102,Acadia National Park,Bird,Cuculiformes,Cuculidae,Coccyzus erythropthalmus,Black-Billed Cuckoo
103,Acadia National Park,Bird,Falconiformes,Falconidae,Falco columbarius,"Eastern Pigeon Hawk, Merlin, Pigeon Hawk"
104,Acadia National Park,Bird,Falconiformes,Falconidae,Falco peregrinus,"American Peregrine Falcon, Duck Hawk, Peregrine Falcon"
105,Acadia National Park,Bird,Falconiformes,Falconidae,Falco rusticolus,"American Gyrfalcon, Gyrfalcon, White Gyrfalcon"
106,Acadia National Park,Bird,Falconiformes,Falconidae,Falco sparverius,"American Kestrel, Eastern Sparrow Hawk, Northern Sparrow Hawk, Sparrow Hawk"
107,Acadia National Park,Bird,Galliformes,Phasianidae,Bonasa umbellus,"Canada Ruffed Grouse, Partridge, Ruffed Grouse, Timber Grouse"
108,Acadia National Park,Bird,Galliformes,Phasianidae,Falcipennis canadensis,"Canada Grouse, Canada Spruce Grouse, Haith Hen, Heath Hen, Spruce Grouse, Spruce Partridge"
109,Acadia National Park,Bird,Gaviiformes,Gaviidae,Gavia immer,"Common Loon, Greater Common Loon"
110,Acadia National Park,Bird,Gruiformes,Rallidae,Fulica americana,"American Coot, Northern American Coot"
111,Acadia National Park,Bird,Gruiformes,Rallidae,Gallinula chloropus,"Common Gallinule, Common Moorhen, Florida Gallinule"
112,Acadia National Park,Bird,Gruiformes,Rallidae,Porphyrula martinica,Purple Gallinule
113,Acadia National Park,Bird,Gruiformes,Rallidae,Porzana carolina,"Sora Rail, Sora"
114,Acadia National Park,Bird,Gruiformes,Rallidae,Rallus limicola,"Northern Virginia Rail, Virginia Rail"
115,Acadia National Park,Bird,Passeriformes,Alaudidae,Eremophila alpestris,"Horned Lark, Northern Horned Lark"
116,Acadia National Park,Bird,Passeriformes,Bombycillidae,Bombycilla cedrorum,Cedar Waxwing
117,Acadia National Park,Bird,Passeriformes,Bombycillidae,Bombycilla garrulus,"Bohemian Waxwing, Greater Waxwing"
118,Acadia National Park,Bird,Passeriformes,Calcariidae,Plectrophenax nivalis,"Eastern Snow Bunting, Snow Bunting, Snowflake"
119,Acadia National Park,Bird,Passeriformes,Cardinalidae,Passerina cyanea,Indigo Bunting
120,Acadia National Park,Bird,Passeriformes,Cardinalidae,Pheucticus ludovicianus,Rose-Breasted Grosbeak
121,Acadia National Park,Bird,Passeriformes,Cardinalidae,Piranga olivacea,Scarlet Tanager
122,Acadia National Park,Bird,Passeriformes,Certhiidae,Certhia americana,"Brown Creeper, Eastern Brown Creeper"
123,Acadia National Park,Bird,Passeriformes,Corvidae,Corvus brachyrhynchos,"American Crow, Common Crow, Crow, Eastern Crow"
124,Acadia National Park,Bird,Passeriformes,Corvidae,Corvus corax,"Common Raven, Northern Raven, Raven"
125,Acadia National Park,Bird,Passeriformes,Corvidae,Cyanocitta cristata,"Blue Jay, Northern Blue Jay"
126,Acadia National Park,Bird,Passeriformes,Corvidae,Perisoreus canadensis,"Canada Gray Jay, Canada Jay, Gray Jay"
127,Acadia National Park,Bird,Passeriformes,Emberizidae,Ammodramus nelsoni,Nelson's Sharp-Tailed Sparrow
128,Acadia National Park,Bird,Passeriformes,Emberizidae,Junco hyemalis,"Dark-Eyed Junco, Northern Slate-Colored Junco, Slate-Colored Junco"
129,Acadia National Park,Bird,Passeriformes,Emberizidae,Melospiza georgiana,"Eastern Swamp Sparrow, Swamp Sparrow"
130,Acadia National Park,Bird,Passeriformes,Emberizidae,Melospiza lincolnii,"Lincoln's Sparrow, Northern Lincoln's Sparrow"
131,Acadia National Park,Bird,Passeriformes,Emberizidae,Melospiza melodia,"Eastern Song Sparrow, Song Sparrow"
132,Acadia National Park,Bird,Passeriformes,Emberizidae,Passerculus sandwichensis,"Eastern Savannah Sparrow, Savannah Sparrow"
133,Acadia National Park,Bird,Passeriformes,Emberizidae,Pipilo erythrophthalmus,"Eastern Towhee, Red-Eyed Towhee, Rufous-Sided Towhee"
134,Acadia National Park,Bird,Passeriformes,Emberizidae,Pooecetes gramineus,"Eastern Vesper Sparrow, Vesper Sparrow"
135,Acadia National Park,Bird,Passeriformes,Emberizidae,Spizella arborea,"American Tree Sparrow, Eastern Tree Sparrow, Tree Sparrow"
136,Acadia National Park,Bird,Passeriformes,Emberizidae,Spizella passerina,"Chipping Sparrow, Eastern Chipping Sparrow"
137,Acadia National Park,Bird,Passeriformes,Emberizidae,Spizella pusilla,"Eastern Field Sparrow, Field Sparrow"
138,Acadia National Park,Bird,Passeriformes,Emberizidae,Zonotrichia albicollis,White-Throated Sparrow
139,Acadia National Park,Bird,Passeriformes,Fringillidae,Carduelis pinus,"Northern Pine Siskin, Pine Siskin"
140,Acadia National Park,Bird,Passeriformes,Fringillidae,Carduelis tristis,"American Goldfinch, Eastern American Goldfinch, Eastern Goldfinch, Goldfinch"
141,Acadia National Park,Bird,Passeriformes,Fringillidae,Carpodacus mexicanus,House Finch
142,Acadia National Park,Bird,Passeriformes,Fringillidae,Carpodacus purpureus,"Eastern Purple Finch, Purple Finch"
143,Acadia National Park,Bird,Passeriformes,Fringillidae,Loxia curvirostra,Red Crossbill
